"activity"	"subject"	"value"
"36"	"fBodyGyro-meanFreq()-Z"	1	-0.0180063943472334
"37"	"fBodyGyro-std()-X"	1	-0.708263420861671
"38"	"fBodyGyro-std()-Y"	1	-0.429825832648703
"39"	"fBodyGyro-std()-Z"	1	-0.650476162132565
"40"	"tBodyAcc-mean()-X"	1	0.265696920582133
"41"	"tBodyAcc-mean()-Y"	1	-0.0182981725176081
"42"	"tBodyAcc-mean()-Z"	1	-0.10784573454611
"43"	"tBodyAcc-std()-X"	1	-0.545795331328326
"44"	"tBodyAcc-std()-Y"	1	-0.367716218227378
"45"	"tBodyAcc-std()-Z"	1	-0.502645746562824
"46"	"tBodyAccJerk-mean()-X"	1	0.0770930495126801
"47"	"tBodyAccJerk-mean()-Y"	1	0.0165908438802305
"48"	"tBodyAccJerk-mean()-Z"	1	-0.00910758730117003
"49"	"tBodyAccJerk-std()-X"	1	-0.524721922818732
"50"	"tBodyAccJerk-std()-Y"	1	-0.470412403511239
"51"	"tBodyAccJerk-std()-Z"	1	-0.717322274881844
"52"	"tBodyAccJerkMag-mean()"	1	-0.545431612066571
"53"	"tBodyAccJerkMag-std()"	1	-0.515922167555159
"54"	"tBodyAccMag-mean()"	1	-0.453632943768818
"55"	"tBodyAccMag-std()"	1	-0.497096402038329
"56"	"tBodyGyro-mean()-X"	1	-0.0208764064320173
"57"	"tBodyGyro-mean()-Y"	1	-0.0880722729400576
"58"	"tBodyGyro-mean()-Z"	1	0.0862641666597983
"59"	"tBodyGyro-std()-X"	1	-0.686555715201729
"60"	"tBodyGyro-std()-Y"	1	-0.450979810499568
"61"	"tBodyGyro-std()-Z"	1	-0.597496136795101
"62"	"tBodyGyroJerk-mean()-X"	1	-0.0971120197265994
"63"	"tBodyGyroJerk-mean()-Y"	1	-0.0417164808293948
"64"	"tBodyGyroJerk-mean()-Z"	1	-0.0471393985477522
"65"	"tBodyGyroJerk-std()-X"	1	-0.637812687210375
"66"	"tBodyGyroJerk-std()-Y"	1	-0.634472244550432
"67"	"tBodyGyroJerk-std()-Z"	1	-0.664591977786455
"68"	"tBodyGyroJerkMag-mean()"	1	-0.639517432642651
"69"	"tBodyGyroJerkMag-std()"	1	-0.652050770910663
"70"	"tBodyGyroMag-mean()"	1	-0.475404785802305
"71"	"tBodyGyroMag-std()"	1	-0.499839593745821
"72"	"tGravityAcc-mean()-X"	1	0.744867411573487
"73"	"tGravityAcc-mean()-Y"	1	-0.0825562579855908
"74"	"tGravityAcc-mean()-Z"	1	0.072339870389049
"75"	"tGravityAcc-std()-X"	1	-0.959859435936599
"76"	"tGravityAcc-std()-Y"	1	-0.951150627458213
"77"	"tGravityAcc-std()-Z"	1	-0.925817590867435
"78"	"tGravityAccMag-mean()"	1	-0.453632943768818
"79"	"tGravityAccMag-std()"	1	-0.497096402038329
"80"	"fBodyAcc-mean()-X"	2	-0.57377091142947
"81"	"fBodyAcc-mean()-Y"	2	-0.432566581302351
"82"	"fBodyAcc-mean()-Z"	2	-0.630081222124834
"83"	"fBodyAcc-meanFreq()-X"	2	-0.106763418901788
"84"	"fBodyAcc-meanFreq()-Y"	2	0.105734176023146
"85"	"fBodyAcc-meanFreq()-Z"	2	0.087210586428
"86"	"fBodyAcc-std()-X"	2	-0.619788102803311
"87"	"fBodyAcc-std()-Y"	2	-0.464723862913245
"88"	"fBodyAcc-std()-Z"	2	-0.600678614835099
"89"	"fBodyAccJerk-mean()-X"	2	-0.561682049622185
"90"	"fBodyAccJerk-mean()-Y"	2	-0.50890379901457
"91"	"fBodyAccJerk-mean()-Z"	2	-0.715745330403973
"92"	"fBodyAccJerk-meanFreq()-X"	2	0.0868000536209801
"93"	"fBodyAccJerk-meanFreq()-Y"	2	-0.139776595362185
"94"	"fBodyAccJerk-meanFreq()-Z"	2	-0.0942651868218543
"95"	"fBodyAccJerk-std()-X"	2	-0.595105612895033
"96"	"fBodyAccJerk-std()-Y"	2	-0.509147543673841
"97"	"fBodyAccJerk-std()-Z"	2	-0.767087015496689
"98"	"fBodyAccMag-mean()"	2	-0.514569861316887
"99"	"fBodyAccMag-meanFreq()"	2	0.192199738218212
"100"	"fBodyAccMag-std()"	2	-0.646662308457285
"101"	"fBodyBodyAccJerkMag-mean()"	2	-0.509746432970861
"102"	"fBodyBodyAccJerkMag-meanFreq()"	2	0.193066821118212
"103"	"fBodyBodyAccJerkMag-std()"	2	-0.518800797709272
"104"	"fBodyBodyGyroJerkMag-mean()"	2	-0.751615078360927
"105"	"fBodyBodyGyroJerkMag-meanFreq()"	2	0.124612068599768
"106"	"fBodyBodyGyroJerkMag-std()"	2	-0.744194981440397
"107"	"fBodyBodyGyroMag-mean()"	2	-0.699742945221854
"108"	"fBodyBodyGyroMag-meanFreq()"	2	0.0471324812379801
"109"	"fBodyBodyGyroMag-std()"	2	-0.725310337688742
"110"	"fBodyGyro-mean()-X"	2	-0.638717694593046
"111"	"fBodyGyro-mean()-Y"	2	-0.722068978635762
"112"	"fBodyGyro-mean()-Z"	2	-0.601594889654305
"113"	"fBodyGyro-meanFreq()-X"	2	-0.00576500648245033
"114"	"fBodyGyro-meanFreq()-Y"	2	-0.0702155008665563
"115"	"fBodyGyro-meanFreq()-Z"	2	0.0513627291214901
"116"	"fBodyGyro-std()-X"	2	-0.734588540182119
"117"	"fBodyGyro-std()-Y"	2	-0.72716774102649
"118"	"fBodyGyro-std()-Z"	2	-0.683114494539735
"119"	"tBodyAcc-mean()-X"	2	0.273113115788079
"120"	"tBodyAcc-mean()-Y"	2	-0.0191323183174834
"121"	"tBodyAcc-mean()-Z"	2	-0.115649958175497
"122"	"tBodyAcc-std()-X"	2	-0.605586497159271
"123"	"tBodyAcc-std()-Y"	2	-0.428962986589404
"124"	"tBodyAcc-std()-Z"	2	-0.589360062210596
"125"	"tBodyAccJerk-mean()-X"	2	0.0785353156747351
"126"	"tBodyAccJerk-mean()-Y"	2	0.00708771249764901
"127"	"tBodyAccJerk-mean()-Z"	2	0.000755760748377483
"128"	"tBodyAccJerk-std()-X"	2	-0.557809603123841
"129"	"tBodyAccJerk-std()-Y"	2	-0.491875889831788
"130"	"tBodyAccJerk-std()-Z"	2	-0.741885388311258
"131"	"tBodyAccJerkMag-mean()"	2	-0.58777744543543
"132"	"tBodyAccJerkMag-std()"	2	-0.512115278415232
"133"	"tBodyAccMag-mean()"	2	-0.535281800541722
"134"	"tBodyAccMag-std()"	2	-0.552812545643709
"135"	"tBodyGyro-mean()-X"	2	-0.0517030657821192
"136"	"tBodyGyro-mean()-Y"	2	-0.0568420186817881
"137"	"tBodyGyro-mean()-Z"	2	0.0872599422291391
"138"	"tBodyGyro-std()-X"	2	-0.710648927815894
"139"	"tBodyGyro-std()-Y"	2	-0.722943674337748
"140"	"tBodyGyro-std()-Z"	2	-0.634888927843046
"141"	"tBodyGyroJerk-mean()-X"	2	-0.0875587491668874
"142"	"tBodyGyroJerk-mean()-Y"	2	-0.0433986835453642
"143"	"tBodyGyroJerk-mean()-Z"	2	-0.0557541828188742
"144"	"tBodyGyroJerk-std()-X"	2	-0.671679103311258
"145"	"tBodyGyroJerk-std()-Y"	2	-0.783595466728477
"146"	"tBodyGyroJerk-std()-Z"	2	-0.674611933293046
"147"	"tBodyGyroJerkMag-mean()"	2	-0.746559539039735
"148"	"tBodyGyroJerkMag-std()"	2	-0.740088733655629
"149"	"tBodyGyroMag-mean()"	2	-0.614771054893146
"150"	"tBodyGyroMag-std()"	2	-0.680584887880795
"151"	"tGravityAcc-mean()-X"	2	0.660782866688742
"152"	"tGravityAcc-mean()-Y"	2	-0.147219886910411
"153"	"tGravityAcc-mean()-Z"	2	0.134865335090728
"154"	"tGravityAcc-std()-X"	2	-0.963015508245033
"155"	"tGravityAcc-std()-Y"	2	-0.960033560165563
"156"	"tGravityAcc-std()-Z"	2	-0.945365383907285
"157"	"tGravityAccMag-mean()"	2	-0.535281800541722
"158"	"tGravityAccMag-std()"	2	-0.552812545643709
"159"	"fBodyAcc-mean()-X"	3	-0.625733289873607
"160"	"fBodyAcc-mean()-Y"	3	-0.501779938505279
"161"	"fBodyAcc-mean()-Z"	3	-0.699656828592375
"162"	"fBodyAcc-meanFreq()-X"	3	-0.192817340495308
"163"	"fBodyAcc-meanFreq()-Y"	3	0.0389282523284457
"164"	"fBodyAcc-meanFreq()-Z"	3	0.00447261449052786
"165"	"fBodyAcc-std()-X"	3	-0.623805015199413
"166"	"fBodyAcc-std()-Y"	3	-0.502753639795894
"167"	"fBodyAcc-std()-Z"	3	-0.657443765803519
"168"	"fBodyAccJerk-mean()-X"	3	-0.645893496630499
"169"	"fBodyAccJerk-mean()-Y"	3	-0.582949919157742
"170"	"fBodyAccJerk-mean()-Z"	3	-0.780101644193548
"171"	"fBodyAccJerk-meanFreq()-X"	3	-0.0476941200470968
"172"	"fBodyAccJerk-meanFreq()-Y"	3	-0.236874240885924
"173"	"fBodyAccJerk-meanFreq()-Z"	3	-0.193657539305073
"174"	"fBodyAccJerk-std()-X"	3	-0.657844055881525
"175"	"fBodyAccJerk-std()-Y"	3	-0.559851186088408
"176"	"fBodyAccJerk-std()-Z"	3	-0.81080601659824
"177"	"fBodyAccMag-mean()"	3	-0.579076453758064
"178"	"fBodyAccMag-meanFreq()"	3	0.0770665587562757
"179"	"fBodyAccMag-std()"	3	-0.663079838985044
"180"	"fBodyBodyAccJerkMag-mean()"	3	-0.604752108072727
"181"	"fBodyBodyAccJerkMag-meanFreq()"	3	0.11231984174566
"182"	"fBodyBodyAccJerkMag-std()"	3	-0.615643694857361
"183"	"fBodyBodyGyroJerkMag-mean()"	3	-0.810085498651026
"184"	"fBodyBodyGyroJerkMag-meanFreq()"	3	0.0599628733252199
"185"	"fBodyBodyGyroJerkMag-std()"	3	-0.810032718739003
"186"	"fBodyBodyGyroMag-mean()"	3	-0.716822144279179
"187"	"fBodyBodyGyroMag-meanFreq()"	3	-0.0846075231245126
"188"	"fBodyBodyGyroMag-std()"	3	-0.703839403007038
"189"	"fBodyGyro-mean()-X"	3	-0.642097719778592
"190"	"fBodyGyro-mean()-Y"	3	-0.775144985073314
"191"	"fBodyGyro-mean()-Z"	3	-0.670734708996481
"192"	"fBodyGyro-meanFreq()-X"	3	-0.102568067670674
"193"	"fBodyGyro-meanFreq()-Y"	3	-0.167675025582991
"194"	"fBodyGyro-meanFreq()-Z"	3	-0.0321862688221114
"195"	"fBodyGyro-std()-X"	3	-0.719276622702346
"196"	"fBodyGyro-std()-Y"	3	-0.758505287214076
"197"	"fBodyGyro-std()-Z"	3	-0.751008875659824
"198"	"tBodyAcc-mean()-X"	3	0.273428719636364
"199"	"tBodyAcc-mean()-Y"	3	-0.017856067384956
"200"	"tBodyAcc-mean()-Z"	3	-0.106492632429097
"201"	"tBodyAcc-std()-X"	3	-0.623413602046921
"202"	"tBodyAcc-std()-Y"	3	-0.480015920697654
"203"	"tBodyAcc-std()-Z"	3	-0.653625579293255
"204"	"tBodyAccJerk-mean()-X"	3	0.0701731261988856
"205"	"tBodyAccJerk-mean()-Y"	3	0.0144664329060411
"206"	"tBodyAccJerk-mean()-Z"	3	-0.000526818872875366
"207"	"tBodyAccJerk-std()-X"	3	-0.635484688041056
"208"	"tBodyAccJerk-std()-Y"	3	-0.55721186773783
"209"	"tBodyAccJerk-std()-Z"	3	-0.796066240234604
"210"	"tBodyAccJerkMag-mean()"	3	-0.650182434328446
"211"	"tBodyAccJerkMag-std()"	3	-0.607658214170381
"212"	"tBodyAccMag-mean()"	3	-0.563140802770059
"213"	"tBodyAccMag-std()"	3	-0.591224780306452
"214"	"tBodyGyro-mean()-X"	3	-0.0248490682828446
"215"	"tBodyGyro-mean()-Y"	3	-0.0743565308442815
"216"	"tBodyGyro-mean()-Z"	3	0.0866875497119062
"217"	"tBodyGyro-std()-X"	3	-0.699262195705865
"218"	"tBodyGyro-std()-Y"	3	-0.76302218170088
"219"	"tBodyGyro-std()-Z"	3	-0.709483440322581
"220"	"tBodyGyroJerk-mean()-X"	3	-0.0991554609633431
"221"	"tBodyGyroJerk-mean()-Y"	3	-0.0401923943695015
"222"	"tBodyGyroJerk-mean()-Z"	3	-0.0521178264170088
"223"	"tBodyGyroJerk-std()-X"	3	-0.689328428607038
"224"	"tBodyGyroJerk-std()-Y"	3	-0.842659862111437
"225"	"tBodyGyroJerk-std()-Z"	3	-0.743028500565982
"226"	"tBodyGyroJerkMag-mean()"	3	-0.784056656246334
"227"	"tBodyGyroJerkMag-std()"	3	-0.80366136372434
"228"	"tBodyGyroMag-mean()"	3	-0.643150121648094
"229"	"tBodyGyroMag-std()"	3	-0.674010290979472
"230"	"tGravityAcc-mean()-X"	3	0.707814353343108
"231"	"tGravityAcc-mean()-Y"	3	-0.0260590480328739
"232"	"tGravityAcc-mean()-Z"	3	0.0480937904190616
"233"	"tGravityAcc-std()-X"	3	-0.966457565630499
"234"	"tGravityAcc-std()-Y"	3	-0.9445645371261
"235"	"tGravityAcc-std()-Z"	3	-0.926966278211144
"236"	"tGravityAccMag-mean()"	3	-0.563140802770059
"237"	"tGravityAccMag-std()"	3	-0.591224780306452
"238"	"fBodyAcc-mean()-X"	4	-0.628806379100946
"239"	"fBodyAcc-mean()-Y"	4	-0.52583456615142
"240"	"fBodyAcc-mean()-Z"	4	-0.755235428895899
"241"	"fBodyAcc-meanFreq()-X"	4	-0.184518571319811
"242"	"fBodyAcc-meanFreq()-Y"	4	0.0847707537883281
"243"	"fBodyAcc-meanFreq()-Z"	4	-0.0164096855119621
"244"	"fBodyAcc-std()-X"	4	-0.597551324155678
"245"	"fBodyAcc-std()-Y"	4	-0.534661524341987
"246"	"fBodyAcc-std()-Z"	4	-0.708764043722397
"247"	"fBodyAccJerk-mean()-X"	4	-0.652023078038801
"248"	"fBodyAccJerk-mean()-Y"	4	-0.601696223759495
"249"	"fBodyAccJerk-mean()-Z"	4	-0.825154871135647
"250"	"fBodyAccJerk-meanFreq()-X"	4	-0.000543991796466877
"251"	"fBodyAccJerk-meanFreq()-Y"	4	-0.180584111376656
"252"	"fBodyAccJerk-meanFreq()-Z"	4	-0.110565549338486
"253"	"fBodyAccJerk-std()-X"	4	-0.644622004704416
"254"	"fBodyAccJerk-std()-Y"	4	-0.593855151524606
"255"	"fBodyAccJerk-std()-Z"	4	-0.860544668359621
"256"	"fBodyAccMag-mean()"	4	-0.602098037677603
"257"	"fBodyAccMag-meanFreq()"	4	0.0963636689322397
"258"	"fBodyAccMag-std()"	4	-0.672948341687697
"259"	"fBodyBodyAccJerkMag-mean()"	4	-0.63501900541041
"260"	"fBodyBodyAccJerkMag-meanFreq()"	4	0.160479882559811
"261"	"fBodyBodyAccJerkMag-std()"	4	-0.666506718936908
"262"	"fBodyBodyGyroJerkMag-mean()"	4	-0.838833209652997
"263"	"fBodyBodyGyroJerkMag-meanFreq()"	4	0.159075727514984
"264"	"fBodyBodyGyroJerkMag-std()"	4	-0.863096864037855
"265"	"fBodyBodyGyroMag-mean()"	4	-0.745650754608833
"266"	"fBodyBodyGyroMag-meanFreq()"	4	-0.129301517256877
"267"	"fBodyBodyGyroMag-std()"	4	-0.732586304826498
"268"	"fBodyGyro-mean()-X"	4	-0.641881977553943
"269"	"fBodyGyro-mean()-Y"	4	-0.831527531009464
"270"	"fBodyGyro-mean()-Z"	4	-0.689308946422713
"271"	"fBodyGyro-meanFreq()-X"	4	-0.118518212447287
"272"	"fBodyGyro-meanFreq()-Y"	4	-0.375332544565931
"273"	"fBodyGyro-meanFreq()-Z"	4	0.0241889403249211
"274"	"fBodyGyro-std()-X"	4	-0.721749187328076
"275"	"fBodyGyro-std()-Y"	4	-0.782885735867508
"276"	"fBodyGyro-std()-Z"	4	-0.7670895729653
"277"	"tBodyAcc-mean()-X"	4	0.274183111498423
"278"	"tBodyAcc-mean()-Y"	4	-0.0148081545344921
"279"	"tBodyAcc-mean()-Z"	4	-0.107521430810726
"280"	"tBodyAcc-std()-X"	4	-0.605211727785489
"281"	"tBodyAcc-std()-Y"	4	-0.509929384011325
"282"	"tBodyAcc-std()-Z"	4	-0.709492735962145
"283"	"tBodyAccJerk-mean()-X"	4	0.0788637845151419
"284"	"tBodyAccJerk-mean()-Y"	4	0.00351340949514196
"285"	"tBodyAccJerk-mean()-Z"	4	-0.00737375142832808
"286"	"tBodyAccJerk-std()-X"	4	-0.631853083289621
"287"	"tBodyAccJerk-std()-Y"	4	-0.584063204701893
"288"	"tBodyAccJerk-std()-Z"	4	-0.843353231167192
"289"	"tBodyAccJerkMag-mean()"	4	-0.656116311856877
"290"	"tBodyAccJerkMag-std()"	4	-0.647249966810726
"291"	"tBodyAccMag-mean()"	4	-0.56158213510694
"292"	"tBodyAccMag-std()"	4	-0.606556049548896
"293"	"tBodyGyro-mean()-X"	4	-0.0289417906907571
"294"	"tBodyGyro-mean()-Y"	4	-0.0787229907785489
"295"	"tBodyGyro-mean()-Z"	4	0.0957174866009464
"296"	"tBodyGyro-std()-X"	4	-0.701397703369085
"297"	"tBodyGyro-std()-Y"	4	-0.79823574873817
"298"	"tBodyGyro-std()-Z"	4	-0.726374197066246
"299"	"tBodyGyroJerk-mean()-X"	4	-0.107859315713249
"300"	"tBodyGyroJerk-mean()-Y"	4	-0.0400427574662461
"301"	"tBodyGyroJerk-mean()-Z"	4	-0.0578089304000631
"302"	"tBodyGyroJerk-std()-X"	4	-0.723788617823344
"303"	"tBodyGyroJerk-std()-Y"	4	-0.902502592618297
"304"	"tBodyGyroJerk-std()-Z"	4	-0.748369141315457
"305"	"tBodyGyroJerkMag-mean()"	4	-0.819191368044164
"306"	"tBodyGyroJerkMag-std()"	4	-0.844187064164038
"307"	"tBodyGyroMag-mean()"	4	-0.656291093847319
"308"	"tBodyGyroMag-std()"	4	-0.706738493542587
"309"	"tGravityAcc-mean()-X"	4	0.706593043123028
"310"	"tGravityAcc-mean()-Y"	4	0.112591195496986
"311"	"tGravityAcc-mean()-Z"	4	0.164130896618297
"312"	"tGravityAcc-std()-X"	4	-0.962636979274448
"313"	"tGravityAcc-std()-Y"	4	-0.941416800167192
"314"	"tGravityAcc-std()-Z"	4	-0.941403426072555
"315"	"tGravityAccMag-mean()"	4	-0.56158213510694
"316"	"tGravityAccMag-std()"	4	-0.606556049548896
"317"	"fBodyAcc-mean()-X"	5	-0.55123770513245
"318"	"fBodyAcc-mean()-Y"	5	-0.440232431795033
"319"	"fBodyAcc-mean()-Z"	5	-0.696171811490066
"320"	"fBodyAcc-meanFreq()-X"	5	-0.226370689942053
"321"	"fBodyAcc-meanFreq()-Y"	5	0.0748636861897351
"322"	"fBodyAcc-meanFreq()-Z"	5	0.0062663175707947
"323"	"fBodyAcc-std()-X"	5	-0.492829885748675
"324"	"fBodyAcc-std()-Y"	5	-0.422162171100331
"325"	"fBodyAcc-std()-Z"	5	-0.649351210748344
"326"	"fBodyAccJerk-mean()-X"	5	-0.604769869438742
"327"	"fBodyAccJerk-mean()-Y"	5	-0.550991969857417
"328"	"fBodyAccJerk-mean()-Z"	5	-0.768762357980132
"329"	"fBodyAccJerk-meanFreq()-X"	5	-0.10292084499106
"330"	"fBodyAccJerk-meanFreq()-Y"	5	-0.27429092242043
"331"	"fBodyAccJerk-meanFreq()-Z"	5	-0.163706246351656
"332"	"fBodyAccJerk-std()-X"	5	-0.584013626983444
"333"	"fBodyAccJerk-std()-Y"	5	-0.491500434303907
"334"	"fBodyAccJerk-std()-Z"	5	-0.798835563807947
"335"	"fBodyAccMag-mean()"	5	-0.528503022745033
"336"	"fBodyAccMag-meanFreq()"	5	0.0781455594845364
"337"	"fBodyAccMag-std()"	5	-0.594259529756954
"338"	"fBodyBodyAccJerkMag-mean()"	5	-0.573176177044172
"339"	"fBodyBodyAccJerkMag-meanFreq()"	5	0.131619298935099
"340"	"fBodyBodyAccJerkMag-std()"	5	-0.613485123609272
"341"	"fBodyBodyGyroJerkMag-mean()"	5	-0.748829309536424
"342"	"fBodyBodyGyroJerkMag-meanFreq()"	5	0.0307564556565894
"343"	"fBodyBodyGyroJerkMag-std()"	5	-0.735610602483444
"344"	"fBodyBodyGyroMag-mean()"	5	-0.677355755703311
"345"	"fBodyBodyGyroMag-meanFreq()"	5	0.062219113935298
"346"	"fBodyBodyGyroMag-std()"	5	-0.715731148145695
"347"	"fBodyGyro-mean()-X"	5	-0.632239300829801
"348"	"fBodyGyro-mean()-Y"	5	-0.71706218781457
"349"	"fBodyGyro-mean()-Z"	5	-0.537329127293278
"350"	"fBodyGyro-meanFreq()-X"	5	-0.0381646986649007
"351"	"fBodyGyro-meanFreq()-Y"	5	-0.0720666007195695
"352"	"fBodyGyro-meanFreq()-Z"	5	0.0744028987918874
"353"	"fBodyGyro-std()-X"	5	-0.73573857718543
"354"	"fBodyGyro-std()-Y"	5	-0.702290390960265
"355"	"fBodyGyro-std()-Z"	5	-0.669353687483444
"356"	"tBodyAcc-mean()-X"	5	0.279177960301325
"357"	"tBodyAcc-mean()-Y"	5	-0.0154833455336192
"358"	"tBodyAcc-mean()-Z"	5	-0.105661736816887
"359"	"tBodyAcc-std()-X"	5	-0.507691011391722
"360"	"tBodyAcc-std()-Y"	5	-0.402724906078146
"361"	"tBodyAcc-std()-Z"	5	-0.646443640175497
"362"	"tBodyAccJerk-mean()-X"	5	0.0841019899622517
"363"	"tBodyAccJerk-mean()-Y"	5	0.0017656830384106
"364"	"tBodyAccJerk-mean()-Z"	5	-0.0029537113427351
"365"	"tBodyAccJerk-std()-X"	5	-0.575890535679801
"366"	"tBodyAccJerk-std()-Y"	5	-0.506544358609603
"367"	"tBodyAccJerk-std()-Z"	5	-0.78456199486755
"368"	"tBodyAccJerkMag-mean()"	5	-0.589313870006622
"369"	"tBodyAccJerkMag-std()"	5	-0.589031268133113
"370"	"tBodyAccMag-mean()"	5	-0.460866415568709
"371"	"tBodyAccMag-std()"	5	-0.52162345171192
"372"	"tBodyGyro-mean()-X"	5	-0.0294516873643046
"373"	"tBodyGyro-mean()-Y"	5	-0.0774316445596026
"374"	"tBodyGyro-mean()-Z"	5	0.0866267116745033
"375"	"tBodyGyro-std()-X"	5	-0.709955676983444
"376"	"tBodyGyro-std()-Y"	5	-0.705638306688742
"377"	"tBodyGyro-std()-Z"	5	-0.606589817380795
"378"	"tBodyGyroJerk-mean()-X"	5	-0.103522877147351
"379"	"tBodyGyroJerk-mean()-Y"	5	-0.0490624519374172
"380"	"tBodyGyroJerk-mean()-Z"	5	-0.0506258160122517
"381"	"tBodyGyroJerk-std()-X"	5	-0.662581310334437
"382"	"tBodyGyroJerk-std()-Y"	5	-0.774114270364238
"383"	"tBodyGyroJerk-std()-Z"	5	-0.564680771249007
"384"	"tBodyGyroJerkMag-mean()"	5	-0.707383517582782
"385"	"tBodyGyroJerkMag-std()"	5	-0.734187493344371
"386"	"tBodyGyroMag-mean()"	5	-0.602770284825828
"387"	"tBodyGyroMag-std()"	5	-0.664078383532781
"388"	"tGravityAcc-mean()-X"	5	0.698153719072848
"389"	"tGravityAcc-mean()-Y"	5	0.112313109736755
"390"	"tGravityAcc-mean()-Z"	5	0.0921607197449904
"391"	"tGravityAcc-std()-X"	5	-0.964629108807947
"392"	"tGravityAcc-std()-Y"	5	-0.939973777950331
"393"	"tGravityAcc-std()-Z"	5	-0.94207867884106
"394"	"tGravityAccMag-mean()"	5	-0.460866415568709
"395"	"tGravityAccMag-std()"	5	-0.52162345171192
"396"	"fBodyAcc-mean()-X"	6	-0.506174926221538
"397"	"fBodyAcc-mean()-Y"	6	-0.392041410138769
"398"	"fBodyAcc-mean()-Z"	6	-0.683725945015385
"399"	"fBodyAcc-meanFreq()-X"	6	-0.191537066813538
"400"	"fBodyAcc-meanFreq()-Y"	6	0.0590114878605846
"401"	"fBodyAcc-meanFreq()-Z"	6	0.113046089288708
"402"	"fBodyAcc-std()-X"	6	-0.506680276530492
"403"	"fBodyAcc-std()-Y"	6	-0.396677793847908
"404"	"fBodyAcc-std()-Z"	6	-0.694365207233846
"405"	"fBodyAccJerk-mean()-X"	6	-0.549394273848923
"406"	"fBodyAccJerk-mean()-Y"	6	-0.503558973703692
"407"	"fBodyAccJerk-mean()-Z"	6	-0.720867157741538
"408"	"fBodyAccJerk-meanFreq()-X"	6	-0.0956140259974462
"409"	"fBodyAccJerk-meanFreq()-Y"	6	-0.305422668448923
"410"	"fBodyAccJerk-meanFreq()-Z"	6	-0.1006823905788
"411"	"fBodyAccJerk-std()-X"	6	-0.555346159400332
"412"	"fBodyAccJerk-std()-Y"	6	-0.437837459287385
"413"	"fBodyAccJerk-std()-Z"	6	-0.755751144098462
"414"	"fBodyAccMag-mean()"	6	-0.473974924380431
"415"	"fBodyAccMag-meanFreq()"	6	0.102346682227846
"416"	"fBodyAccMag-std()"	6	-0.570910289993846
"417"	"fBodyBodyAccJerkMag-mean()"	6	-0.494882316238462
"418"	"fBodyBodyAccJerkMag-meanFreq()"	6	0.0831165453227692
"419"	"fBodyBodyAccJerkMag-std()"	6	-0.516711262173969
"420"	"fBodyBodyGyroJerkMag-mean()"	6	-0.651886909221538
"421"	"fBodyBodyGyroJerkMag-meanFreq()"	6	0.081817622852
"422"	"fBodyBodyGyroJerkMag-std()"	6	-0.660175875210246
"423"	"fBodyBodyGyroMag-mean()"	6	-0.579130051151385
"424"	"fBodyBodyGyroMag-meanFreq()"	6	0.104193397607938
"425"	"fBodyBodyGyroMag-std()"	6	-0.657368673849846
